Type de bien,Price,Address,Surface,Nombre de chambres,Nombre de toilettes
L/C,2400000.0,Centre,115,2.0,1.0
Villa,3500000.0,Achakar,215,4.0,3.0
L/C,1950000.0,Centre,180,2.0,1.0
Bureau,2085000.0,Centre,139,2.0,1.0
L/C,1700000.0,Tanja Balia,103,2.0,1.0
Villa,1490000.0,Tanja Balia,220,4.0,3.0
Bureau,1000000.0,Centre,76,1.0,1.0
Appartement,550000.0,Val Fleuri,70,2.0,1.0
Bureau,996000.0,Centre,83,1.0,1.0
Appartement,2800000.0,Branes 1,116,4.0,3.0
L/C,4000000.0,Centre,94,1.0,1.0
L/C,3500000.0,Centre,149,2.0,1.0
Appartement,3600000.0,Val Fleuri,100,4.0,3.0
Appartement,2900000.0,Mghogha,100,3.0,1.0
L/C,550000.0,Centre,50,1.0,1.0
Bureau,1070000.0,Centre,80,1.0,1.0
L/C,600000.0,Centre,30,1.0,1.0
L/C,400000.0,Tanja Balia,21,1.0,1.0
L/C,690000.0,Mesnana,32,1.0,1.0
Appartement,3400000.0,Rmilat,148,2.0,1.0
L/C,1070000.0,Mesnana,72,1.0,1.0
Appartement,2100000.0,Marchane,210,4.0,2.0
Appartement,850000.0,Marchane,60,4.0,2.0
Appartement,1750000.0,Charf,172,4.0,3.0
Appartement,650000.0,Casabarata,50,2.0,1.0
L/C,2500000.0,Centre,125,2.0,2.0
Bureau,680000.0,Iberie,44,1.0,1.0
Appartement,2200000.0,Centre,55,1.0,1.0
Villa,1380000.0,Malabata,200,4.0,3.0
Appartement,750000.0,Mesnana,60,4.0,3.0
Bureau,3750000.0,Centre,125,2.0,1.0
Appartement,2600000.0,Ahlane,108,1.0,1.0
L/C,200000.0,Achakar,84,1.0,1.0
Appartement,2600000.0,Ahlane,108,1.0,1.0
Appartement,1320000.0,Mesnana,165,3.0,3.0
Bureau,1320000.0,Mghogha,80,1.0,1.0
Appartement,3000000.0,Marchane,180,3.0,1.0
Appartement,1250000.0,Marchane,185,4.0,2.0
L/C,550000.0,Tanja Balia,40,1.0,1.0
Villa,2400000.0,Achakar,150,3.0,1.0
L/C,2225000.0,Centre,120,2.0,1.0
L/C,2000000.0,Centre,30,1.0,1.0
Appartement,2800000.0,Mghogha,102,3.0,2.0
Appartement,1800000.0,Mghogha,90,3.0,2.0
L/C,590000.0,Ahlane,31,1.0,1.0
Riad,1650000.0,Port Tanger ville,65,3.0,1.0
Appartement,500000.0,Branes 1,50,2.0,2.0
Villa,1050000.0,Tanja Balia,216,4.0,3.0
Appartement,3000000.0,Marchane,100,3.0,2.0
Villa,1050000.0,Tanja Balia,216,4.0,3.0
Appartement,2900000.0,Ahlane,140,4.0,3.0
L/C,660000.0,Mesnana,30,1.0,1.0
Appartement,580000.0,Mghogha,55,4.0,2.0
L/C,1000000.0,Centre,200,2.0,1.0
L/C,480000.0,Mghogha,40,1.0,1.0
L/C,1150000.0,Centre,38,1.0,1.0
Appartement,2250000.0,Souani,214,2.0,3.0
Villa,2100000.0,Marchane,104,3.0,3.0
Appartement,1400000.0,Branes 1,90,3.0,3.0
Bureau,1720000.0,Centre,100,1.0,1.0
Appartement,250000.0,Benkirane,16,1.0,1.0
L/C,1950000.0,Centre,37,1.0,1.0
Appartement,700000.0,Marchane,70,2.0,1.0
L/C,350000.0,Tanja Balia,68,1.0,1.0
Appartement,550000.0,Charf,45,1.0,1.0
Villa,1400000.0,Malabata,200,4.0,3.0
Appartement,1300000.0,Mghogha,70,4.0,2.0
Appartement,1950000.0,Msala,225,4.0,2.0
Appartement,900000.0,Moujahidine,90,2.0,1.0
Appartement,1600000.0,Tanja Balia,50,3.0,2.0
Appartement,1000000.0,Msala,80,3.0,2.0
Appartement,564300.0,Mesnana,54,2.0,1.0
Appartement,1150000.0,Val Fleuri,100,2.0,1.0
Appartement,1100000.0,Mesnana,140,3.0,2.0
Appartement,950000.0,Branes 1,118,3.0,2.0
Appartement,1280000.0,Malabata,100,2.0,1.0
Appartement,1100000.0,Ahlane,200,3.0,2.0
Appartement,830000.0,Val Fleuri,87,2.0,1.0
Appartement,550000.0,Mghogha,150,3.0,2.0
Appartement,750000.0,Drissia,79,2.0,1.0
Appartement,913500.0,Moujahidine,87,2.0,1.0
Appartement,1850000.0,Malabata,116,3.0,2.0
Appartement,1125000.0,Val Fleuri,90,2.0,1.0
Appartement,450000.0,Tanja Balia,57,2.0,1.0
Appartement,902500.0,Mesnana,113,3.0,2.0
Appartement,1850000.0,Moulay Youssef,110,3.0,2.0
Appartement,3700000.0,Mesnana,100,2.0,1.0
Appartement,970000.0,Branes 2,200,3.0,2.0
Appartement,420000.0,Tanja Balia,54,2.0,1.0
Appartement,1700000.0,Malabata,90,2.0,1.0
Appartement,950000.0,Tanja Balia,80,2.0,1.0
Appartement,1000000.0,Malabata,53,2.0,1.0
Appartement,3200000.0,Iberie,141,3.0,2.0
Appartement,2900000.0,Malabata,200,3.0,2.0
Appartement,2400000.0,Malabata,103,3.0,2.0
Appartement,2655000.0,Iberie,177,3.0,2.0
Appartement,1950000.0,Tanja Balia,70,2.0,1.0
Appartement,710000.0,Ahlane,64,2.0,1.0
Appartement,750000.0,Mesnana,60,2.0,1.0
Appartement,950000.0,Mesnana,55,2.0,1.0
Appartement,850000.0,Drissia,87,2.0,1.0
Appartement,780000.0,Mesnana,84,2.0,1.0
Appartement,850000.0,Ben Dibane,200,3.0,2.0
Appartement,400000.0,Tanja Balia,54,2.0,1.0
Appartement,1200000.0,Malabata,87,2.0,1.0
Appartement,1900000.0,Malabata,90,2.0,1.0
Appartement,1278000.0,Malabata,200,3.0,2.0
Appartement,1200000.0,Ben Dibane,3,2.0,1.0
Appartement,450000.0,Moujahidine,57,2.0,1.0
Appartement,620000.0,Mesnana,150,3.0,2.0
Appartement,2160000.0,Malabata,153,3.0,2.0
Appartement,1200000.0,Malabata,5,2.0,1.0
Appartement,400000.0,Tanja Balia,54,2.0,1.0
Appartement,972000.0,Malabata,81,2.0,1.0
Appartement,860000.0,Ahlane,87,2.0,1.0
Appartement,650000.0,El Mers 1,1,2.0,1.0
Appartement,3350000.0,Branes 2,136,3.0,2.0
Appartement,950000.0,Moujahidine,87,2.0,1.0
Appartement,1270000.0,Jirrari,136,3.0,2.0
Appartement,1620000.0,Jirrari,178,3.0,2.0
Appartement,1080000.0,Tanja Balia,90,2.0,1.0
Appartement,1440000.0,Tanja Balia,120,3.0,2.0
Appartement,245000.0,Mghogha,51,2.0,1.0
Appartement,390000.0,Achakar,100,2.0,1.0
Appartement,330000.0,Tanja Balia,50,2.0,1.0
Appartement,870000.0,Tanja Balia,70,2.0,1.0
Appartement,270000.0,El Mers 2,50,2.0,1.0
Appartement,1350000.0,Benkirane,80,2.0,1.0
Appartement,440000.0,Mesnana,100,2.0,1.0
Appartement,1000000.0,Malabata,200,3.0,2.0
Appartement,690000.0,Moujahidine,79,2.0,1.0
Appartement,1000000.0,Malabata,54,2.0,1.0
Appartement,330000.0,Achakar,55,2.0,1.0
Appartement,630000.0,Val Fleuri,100,2.0,1.0
Appartement,3200000.0,Iberie,220,3.0,2.0
Appartement,750000.0,Mesnana,60,2.0,1.0
Appartement,1050000.0,Moulay Youssef,200,3.0,2.0
Appartement,480000.0,Val Fleuri,49,2.0,1.0
Appartement,850000.0,Mesnana,140,3.0,2.0
Appartement,1270000.0,Val Fleuri,200,3.0,2.0
Appartement,350000.0,El Mers 1,123,3.0,2.0
Appartement,1950000.0,Castilla,200,3.0,2.0
Appartement,2635000.0,Iberie,155,3.0,2.0
Appartement,510000.0,Mesnana,150,3.0,2.0
Appartement,3900000.0,Ahlane,120,3.0,2.0
Appartement,690000.0,Casabarata,100,2.0,1.0
Appartement,460000.0,Moujahidine,150,3.0,2.0
Appartement,570000.0,Mesnana,150,3.0,2.0
Appartement,840000.0,Drissia,200,3.0,2.0
Appartement,1000000.0,Tanja Balia,108,3.0,2.0
Appartement,520000.0,Val Fleuri,100,2.0,1.0
Appartement,800000.0,Mesnana,100,2.0,1.0
Appartement,555000.0,El Mers 1,93,2.0,1.0
Appartement,3500000.0,Ben Dibane,167,3.0,2.0
Appartement,1020000.0,Malabata,85,2.0,1.0
Appartement,1212000.0,Malabata,101,3.0,2.0
Appartement,560000.0,Castilla,200,3.0,2.0
Appartement,900000.0,Ahlane,200,3.0,2.0
Appartement,3000000.0,Malabata,155,3.0,2.0
Appartement,168000.0,Val Fleuri,125,3.0,2.0
Appartement,3500000.0,Castilla,100,2.0,1.0
Appartement,830000.0,Val Fleuri,83,2.0,1.0
Appartement,4000000.0,Malabata,136,3.0,2.0
Appartement,3000000.0,Ahlane,100,2.0,1.0
Appartement,970000.0,Val Fleuri,96,2.0,1.0
Appartement,800000.0,Moujahidine,102,3.0,2.0
Appartement,1080000.0,Malabata,84,2.0,1.0
Appartement,510000.0,El Mers 2,81,2.0,1.0
Appartement,1050000.0,Ahlane,200,3.0,2.0
Appartement,540000.0,Val Fleuri,2,2.0,1.0
Appartement,300000.0,Mghogha,64,2.0,1.0
Appartement,780000.0,Tanja Balia,200,3.0,2.0
Appartement,450000.0,Tanja Balia,150,3.0,2.0
Appartement,450000.0,Moujahidine,150,3.0,2.0
Appartement,1020000.0,Malabata,85,2.0,1.0
Appartement,1000000.0,Mesnana,132,3.0,2.0
Appartement,1200000.0,Val Fleuri,200,3.0,2.0
Studio,550000.0,Tanja Balia,100,1.0,1.0
Appartement,550000.0,Val Fleuri,200,3.0,2.0
Appartement,750000.0,Val Fleuri,160,3.0,2.0
Studio,1200000.0,Malabata,40,1.0,1.0
Appartement,2600000.0,Achakar,160,3.0,2.0
Appartement,200000.0,Drissia,100,2.0,1.0
Appartement,3800000.0,Iberie,229,3.0,2.0
Appartement,450000.0,Mesnana,100,2.0,1.0
Appartement,585000.0,Branes 1,65,2.0,1.0
Appartement,2200000.0,Malabata,2,2.0,1.0
Appartement,980000.0,Malabata,82,2.0,1.0
Appartement,1300000.0,Casabarata,150,3.0,2.0
Appartement,1200000.0,Tanja Balia,90,2.0,1.0
Appartement,980000.0,Malabata,82,2.0,1.0
Appartement,1426000.0,Malabata,124,3.0,2.0
Appartement,1248000.0,Malabata,104,3.0,2.0
Appartement,1391500.0,Malabata,121,3.0,2.0
Appartement,3500000.0,Moujahidine,220,3.0,2.0
Appartement,270000.0,Achakar,50,2.0,1.0
Villa,4000000.0,Achakar,150,3.0,2.0
Appartement,570000.0,Tanja Balia,70,2.0,1.0
Appartement,900000.0,Ahlane,90,2.0,1.0
Appartement,450000.0,Val Fleuri,40,2.0,1.0
Appartement,920000.0,Tanja Balia,80,2.0,1.0
Villa,2000000.0,Achakar,220,4.0,3.0
Appartement,984000.0,Malabata,82,2.0,1.0
Appartement,2400000.0,Moujahidine,161,3.0,2.0
Appartement,870000.0,Tanja Balia,100,2.0,1.0
Villa,3500000.0,Val Fleuri,140,3.0,2.0
Appartement,430000.0,Mghogha,67,2.0,1.0
Appartement,600000.0,Tanja Balia,100,2.0,1.0
Appartement,750000.0,Mesnana,75,2.0,1.0
Appartement,730000.0,Moujahidine,79,2.0,1.0
Appartement,943000.0,Malabata,82,2.0,1.0
Appartement,1104000.0,Malabata,96,2.0,1.0
Appartement,650000.0,Tanja Balia,200,3.0,2.0
Appartement,1100000.0,Tanja Balia,200,3.0,2.0
Appartement,950000.0,Malabata,200,3.0,2.0
Appartement,570000.0,Drissia,51,2.0,1.0
Appartement,560000.0,Val Fleuri,200,3.0,2.0
Appartement,700000.0,Marchane,8,2.0,1.0
Appartement,450000.0,Mghogha,70,2.0,1.0
Appartement,1600000.0,Souani,82,2.0,1.0
Appartement,800000.0,Moujahidine,150,3.0,2.0
Appartement,300000.0,Mesnana,2,2.0,1.0
Appartement,1000000.0,Tanja Balia,200,3.0,2.0
Appartement,630000.0,Moujahidine,100,2.0,1.0
Appartement,1207500.0,Castilla,200,3.0,2.0
Appartement,870000.0,Mesnana,55,2.0,1.0
Appartement,360000.0,Achakar,100,2.0,1.0
Appartement,1176000.0,Malabata,98,2.0,1.0
Appartement,2750000.0,Achakar,155,3.0,2.0
Appartement,600000.0,Val Fleuri,100,2.0,1.0
Appartement,1450000.0,El Mers 2,70,2.0,1.0
Appartement,1450000.0,El Mers 2,70,2.0,1.0
Appartement,420000.0,Mghogha,60,2.0,1.0
Appartement,1370000.0,Tanja Balia,92,2.0,1.0
Appartement,2800000.0,Malabata,105,3.0,2.0
Appartement,1000000.0,Casabarata,48,2.0,1.0
Appartement,210000.0,Mghogha,51,2.0,1.0
Appartement,1200000.0,Casabarata,100,2.0,1.0
Appartement,3500000.0,Branes 2,100,2.0,1.0
Appartement,3500000.0,Branes 2,100,2.0,1.0
Appartement,470000.0,Tanja Balia,57,2.0,1.0
Appartement,350000.0,Mghogha,50,2.0,1.0
Appartement,3500000.0,Branes 2,136,3.0,2.0
Appartement,970000.0,Branes 2,74,2.0,1.0
Appartement,1100000.0,Mesnana,90,2.0,1.0
Appartement,1196000.0,Malabata,104,3.0,2.0
Appartement,300000.0,Achakar,57,2.0,1.0
Villa,1900000.0,Achakar,90,3.0,2.0
Appartement,750000.0,Mesnana,97,2.0,1.0
Appartement,300000.0,Ben Dibane,50,2.0,1.0
Appartement,500000.0,Mesnana,60,2.0,1.0
Appartement,1248000.0,Tanja Balia,104,3.0,2.0
Appartement,650000.0,Ahlane,100,2.0,1.0
Appartement,800000.0,El Mers 1,70,2.0,1.0
Appartement,1196000.0,Malabata,104,3.0,2.0
Appartement,430000.0,Mghogha,70,2.0,1.0
Appartement,440000.0,Tanja Balia,54,2.0,1.0
Appartement,800000.0,Drissia,6,2.0,1.0
Appartement,490000.0,Mesnana,55,2.0,1.0
Appartement,850000.0,Ben Dibane,50,2.0,1.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,340000.0,Mesnana,52,2.0,1.0
Appartement,3200000.0,Iberie,187,3.0,2.0
Appartement,600000.0,Tanja Balia,100,2.0,1.0
Appartement,360000.0,Tanja Balia,50,2.0,1.0
Appartement,920000.0,Malabata,80,2.0,1.0
Appartement,440000.0,Tanja Balia,54,2.0,1.0
Appartement,750000.0,Mghogha,200,3.0,2.0
Appartement,440000.0,Tanja Balia,54,2.0,1.0
Appartement,1250000.0,Tanja Balia,90,2.0,1.0
Appartement,1200000.0,Tanja Balia,90,2.0,1.0
Appartement,920000.0,Tanja Balia,81,2.0,1.0
Appartement,440000.0,Tanja Balia,54,2.0,1.0
Appartement,400000.0,Tanja Balia,58,2.0,1.0
Appartement,440000.0,Tanja Balia,54,2.0,1.0
Appartement,1000000.0,Mesnana,112,3.0,2.0
Appartement,440000.0,Tanja Balia,54,2.0,1.0
Appartement,540000.0,Val Fleuri,57,2.0,1.0
Appartement,720000.0,Mesnana,65,2.0,1.0
Appartement,440000.0,Malabata,54,2.0,1.0
Appartement,931500.0,Tanja Balia,81,2.0,1.0
Appartement,440000.0,Tanja Balia,54,2.0,1.0
Appartement,960000.0,Tanja Balia,81,2.0,1.0
Appartement,450000.0,Tanja Balia,200,3.0,2.0
Appartement,2600000.0,Achakar,160,3.0,2.0
Appartement,1370000.0,Malabata,200,3.0,2.0
Appartement,3368000.0,Mesnana,220,3.0,2.0
Appartement,1050000.0,Mesnana,138,3.0,2.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,580000.0,Ahlane,80,2.0,1.0
Appartement,670000.0,Mesnana,100,2.0,1.0
Appartement,960000.0,Tanja Balia,200,3.0,2.0
Appartement,760000.0,Malabata,200,3.0,2.0
Appartement,640000.0,Ahlane,84,2.0,1.0
Appartement,960000.0,Tanja Balia,80,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,265000.0,Achakar,55,2.0,1.0
Appartement,480000.0,Moujahidine,60,2.0,1.0
Appartement,1600000.0,Branes 1,127,3.0,2.0
Appartement,3300000.0,Moujahidine,120,3.0,2.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,1720000.0,Malabata,117,3.0,2.0
Appartement,3700000.0,Val Fleuri,200,3.0,2.0
Appartement,420000.0,Tanja Balia,58,2.0,1.0
Appartement,920000.0,Tanja Balia,80,2.0,1.0
Appartement,850000.0,Val Fleuri,147,3.0,2.0
Appartement,1104000.0,Tanja Balia,96,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,250000.0,Ahlane,50,2.0,1.0
Appartement,920000.0,Tanja Balia,80,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,1950000.0,Souani,90,2.0,1.0
Appartement,300000.0,Tanja Balia,47,2.0,1.0
Appartement,960000.0,Tanja Balia,80,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,1331000.0,Val Fleuri,121,3.0,2.0
Appartement,330000.0,Malabata,52,2.0,1.0
Appartement,1000000.0,Ahlane,95,2.0,1.0
Appartement,936000.0,Tanja Balia,78,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,240000.0,Mghogha,50,2.0,1.0
Appartement,850000.0,Casabarata,50,2.0,1.0
Appartement,1350000.0,Mesnana,165,3.0,2.0
Appartement,1480000.0,Branes 1,81,2.0,1.0
Appartement,1500000.0,Branes 2,100,2.0,1.0
Appartement,2700000.0,Jirrari,4,2.0,1.0
Appartement,948000.0,Tanja Balia,79,2.0,1.0
Appartement,1100000.0,M'Nar,200,3.0,2.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,720000.0,Ben Dibane,100,2.0,1.0
Appartement,590000.0,Ahlane,100,2.0,1.0
Appartement,620000.0,Moujahidine,62,2.0,1.0
Appartement,1800000.0,Iberie,50,2.0,1.0
Appartement,2600000.0,Achakar,160,3.0,2.0
Appartement,2500000.0,Moujahidine,110,3.0,2.0
Appartement,1500000.0,Malabata,88,2.0,1.0
Appartement,1700000.0,Jirrari,94,2.0,1.0
Appartement,470000.0,Moujahidine,70,2.0,1.0
Appartement,620000.0,Moujahidine,160,3.0,2.0
Appartement,450000.0,Casabarata,42,2.0,1.0
Appartement,290000.0,Mghogha,49,2.0,1.0
Appartement,2600000.0,Mghogha,57,2.0,1.0
Appartement,200000.0,Achakar,70,2.0,1.0
Appartement,830000.0,Casabarata,131,3.0,2.0
Appartement,2400000.0,Malabata,145,3.0,2.0
Appartement,1152000.0,Tanja Balia,96,2.0,1.0
Appartement,960000.0,Val Fleuri,200,3.0,2.0
Appartement,3800000.0,Moujahidine,3,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,1600000.0,Malabata,200,3.0,2.0
Appartement,936000.0,Tanja Balia,78,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,2329000.0,Malabata,137,3.0,2.0
Appartement,480000.0,Moujahidine,150,3.0,2.0
Appartement,1650000.0,M'Nar,123,3.0,2.0
Appartement,850000.0,Moujahidine,91,2.0,1.0
Appartement,2600000.0,Achakar,160,3.0,2.0
Appartement,1120000.0,Castilla,80,2.0,1.0
Appartement,936000.0,Tanja Balia,78,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Villa,3350000.0,Drissia,200,4.0,3.0
Appartement,936000.0,Tanja Balia,78,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,2700000.0,Malabata,200,3.0,2.0
Appartement,370000.0,Tanja Balia,56,2.0,1.0
Appartement,1400000.0,Castilla,130,3.0,2.0
Appartement,1850000.0,Malabata,116,3.0,2.0
Appartement,450000.0,Moujahidine,100,2.0,1.0
Appartement,440000.0,Mghogha,100,2.0,1.0
Appartement,1850000.0,Tanja Balia,77,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,936000.0,Tanja Balia,78,2.0,1.0
Appartement,550000.0,Moujahidine,150,3.0,2.0
Appartement,480000.0,Moujahidine,150,3.0,2.0
Appartement,940000.0,Mesnana,96,2.0,1.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,700000.0,Ahlane,64,2.0,1.0
Appartement,1720000.0,Malabata,118,3.0,2.0
Villa,700000.0,Mghogha,154,4.0,3.0
Appartement,1450000.0,Malabata,105,3.0,2.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,2550000.0,Ahlane,108,3.0,2.0
Appartement,325000.0,Achakar,52,2.0,1.0
Appartement,2600000.0,Achakar,160,3.0,2.0
Appartement,720000.0,Mesnana,100,2.0,1.0
Appartement,1425000.0,Castilla,95,2.0,1.0
Appartement,1872000.0,Castilla,117,3.0,2.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,2750000.0,M'Nar,148,3.0,2.0
Appartement,1500000.0,Iberie,108,3.0,2.0
Appartement,980000.0,Malabata,200,3.0,2.0
Appartement,936000.0,Tanja Balia,78,2.0,1.0
Appartement,500000.0,Tanja Balia,56,2.0,1.0
Appartement,880000.0,Branes 2,64,2.0,1.0
Appartement,450000.0,Tanja Balia,56,2.0,1.0
Appartement,1300000.0,Drissia,93,2.0,1.0
Appartement,1280000.0,Malabata,100,2.0,1.0
Appartement,1120000.0,Castilla,80,2.0,1.0
Appartement,720000.0,Val Fleuri,76,2.0,1.0
Appartement,2000000.0,M'Nar,109,3.0,2.0
Appartement,750000.0,Moujahidine,200,3.0,2.0
Appartement,3600000.0,Souani,130,3.0,2.0
Appartement,936000.0,Tanja Balia,78,2.0,1.0
Appartement,450000.0,Tanja Balia,200,3.0,2.0
Appartement,1425000.0,Castilla,95,2.0,1.0
Appartement,450000.0,Tanja Balia,100,2.0,1.0
Appartement,800000.0,Mesnana,95,2.0,1.0
Appartement,480000.0,Mesnana,150,3.0,2.0
Appartement,4000000.0,Malabata,136,3.0,2.0
Appartement,1140000.0,Tanja Balia,130,3.0,2.0
Appartement,340000.0,Tanja Balia,48,2.0,1.0
Appartement,370000.0,Moujahidine,200,3.0,2.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,120000.0,Casabarata,85,2.0,1.0
Appartement,750000.0,Drissia,100,2.0,1.0
Appartement,300000.0,Tanja Balia,55,2.0,1.0
Appartement,1700000.0,Mesnana,65,2.0,1.0
Villa,3400000.0,Benkirane,110,3.0,2.0
Appartement,1800000.0,Mghogha,90,2.0,1.0
Appartement,760000.0,Mesnana,100,2.0,1.0
Appartement,420000.0,Tanja Balia,100,2.0,1.0
Appartement,950000.0,Val Fleuri,124,3.0,2.0
Appartement,550000.0,Mesnana,200,3.0,2.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,520000.0,Ahlane,80,2.0,1.0
Appartement,1450000.0,Malabata,105,3.0,2.0
Appartement,2400000.0,Tanja Balia,108,3.0,2.0
Appartement,1150000.0,Tanja Balia,140,3.0,2.0
Appartement,960000.0,Ahlane,128,3.0,2.0
Appartement,1522000.0,Malabata,87,2.0,1.0
Appartement,660000.0,Mesnana,50,2.0,1.0
Appartement,1050000.0,Branes 2,107,3.0,2.0
Appartement,350000.0,Tanja Balia,53,2.0,1.0
Appartement,1600000.0,Achakar,169,3.0,2.0
Appartement,480000.0,El Mers 1,100,2.0,1.0
Appartement,220000.0,El Mers 1,55,2.0,1.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,750000.0,Jirrari,80,2.0,1.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,390000.0,Achakar,60,2.0,1.0
Appartement,1900000.0,Jirrari,100,2.0,1.0
Appartement,1170000.0,Castilla,65,2.0,1.0
Appartement,750000.0,Drissia,100,2.0,1.0
Appartement,2400000.0,Iberie,175,3.0,2.0
Appartement,430000.0,Moujahidine,100,2.0,1.0
Appartement,4000000.0,Mesnana,110,3.0,2.0
Appartement,200000.0,Mghogha,48,2.0,1.0
Appartement,480000.0,Mesnana,50,2.0,1.0
Appartement,280000.0,Tanja Balia,50,2.0,1.0
Appartement,780000.0,Tanja Balia,78,2.0,1.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,280000.0,Achakar,56,2.0,1.0
Appartement,310000.0,Moujahidine,52,2.0,1.0
Villa,3600000.0,Achakar,200,4.0,3.0
Appartement,770000.0,Benkirane,160,3.0,2.0
Appartement,370000.0,Achakar,53,2.0,1.0
Appartement,2600000.0,Ahlane,120,3.0,2.0
Appartement,930000.0,Val Fleuri,200,3.0,2.0
Appartement,950000.0,Castilla,150,3.0,2.0
Appartement,800000.0,Mghogha,55,2.0,1.0
Appartement,750000.0,Tanja Balia,75,2.0,1.0
Appartement,350000.0,Mesnana,52,2.0,1.0
Appartement,900000.0,Souani,60,2.0,1.0
Appartement,1720000.0,Malabata,118,3.0,2.0
Appartement,1500000.0,Tanja Balia,70,2.0,1.0
Appartement,660000.0,Branes 2,70,2.0,1.0
Appartement,1225000.0,Mesnana,164,3.0,2.0
Appartement,2350000.0,Mesnana,112,3.0,2.0
Appartement,3100000.0,Ahlane,116,3.0,2.0
Appartement,750000.0,Tanja Balia,75,2.0,1.0
Appartement,950000.0,Mesnana,100,2.0,1.0
Appartement,1000000.0,Tanja Balia,80,2.0,1.0
Appartement,710000.0,Mesnana,200,3.0,2.0
Appartement,450000.0,Tanja Balia,55,2.0,1.0
Appartement,800000.0,Mesnana,55,2.0,1.0
Appartement,820000.0,Malabata,200,3.0,2.0
Appartement,450000.0,Tanja Balia,54,2.0,1.0
Appartement,750000.0,Benkirane,100,2.0,1.0
Appartement,1600000.0,Moulay Youssef,150,3.0,2.0
Appartement,750000.0,Tanja Balia,75,2.0,1.0
Appartement,755000.0,Castilla,100,2.0,1.0
Appartement,750000.0,Tanja Balia,76,2.0,1.0
Appartement,450000.0,Mghogha,72,2.0,1.0
